case,eligible,failed_gates,page_delta,media_box_max_delta_pt,text_pages_equal,text_pages_compared,raster_pages,max_abs_dx,max_abs_dy,ink_ratio_min,ink_ratio_max,bad_pixel_pct_max,mae_max,roi_count,roi_precision_min,roi_recall_min,fonts_passed,render_issues_passed,deterministic
public-rfp-hwp,true,,0,0.280000,1,1,1,0,0,0.994272,0.994272,0.017943,2.8790,4,0.995267,0.951154,true,true,true
public-rfp-hwpx,true,,0,0.280000,1,1,1,0,0,0.994272,0.994272,0.017943,2.8790,4,0.995267,0.951154,true,true,true
